"","player","style","skill","footwork","results","time","x","y","recorder","unicode","file","match_year","match","match_winner","match_result","opponent","games","file_order","stroke","order","rally_id","time_sec"
"1","Mattias_Falck","forehand","serve","no move","continue","00:00:01:59",145000,189000,"主文",13,"112/",2024,"ITTFWorlds MT R16","Lin_Yun_ju","3-0","Lin_Yun_Ju",1,1,1,1375,315,1.59
"2","Lin_Yun_Ju","backhand","side-spin drive","step","won","00:00:02:09",176000,363000,"主文",13,"112/",2024,"ITTFWorlds MT R16","Lin_Yun_ju","3-0","Mattias_Falck",1,2,2,1376,315,2.09
"3","Mattias_Falck","forehand","serve","no move","continue","00:00:06:76",137000,140000,"主文",13,"112/",2024,"ITTFWorlds MT R16","Lin_Yun_ju","3-0","Lin_Yun_Ju",1,3,1,1377,316,6.76
"4","Lin_Yun_Ju","backhand","side-spin drive","step","continue","00:00:07:16",198000,353000,"主文",13,"112/",2024,"ITTFWorlds MT R16","Lin_Yun_ju","3-0","Mattias_Falck",1,4,2,1378,316,7.16
"5","Mattias_Falck","backhand","drive","step","continue","00:00:07:49",205000,155000,"主文",13,"112/",2024,"ITTFWorlds MT R16","Lin_Yun_ju","3-0","Lin_Yun_Ju",1,5,3,1379,316,7.49
"6","Lin_Yun_Ju","backhand","block","step","won","00:00:07:99",167000,336000,"主文",13,"112/",2024,"ITTFWorlds MT R16","Lin_Yun_ju","3-0","Mattias_Falck",1,6,4,1380,316,7.99
"7","Lin_Yun_Ju","forehand","serve","no move","continue","00:00:12:39",168000,301000,"主文",13,"112/",2024,"ITTFWorlds MT R16","Lin_Yun_ju","3-0","Mattias_Falck",1,7,1,1381,317,12.39
"8","Mattias_Falck","forehand","push","step","continue","00:00:13:09",182000,132000,"主文",13,"112/",2024,"ITTFWorlds MT R16","Lin_Yun_ju","3-0","Lin_Yun_Ju",1,8,2,1382,317,13.09
"9","Lin_Yun_Ju","backhand","drive","step","continue","00:00:13:39",122000,342000,"主文",13,"112/",2024,"ITTFWorlds MT R16","Lin_Yun_ju","3-0","Mattias_Falck",1,9,3,1383,317,13.39
"10","Mattias_Falck","forehand","block","step","continue","00:00:13:83",207000,169000,"主文",13,"112/",2024,"ITTFWorlds MT R16","Lin_Yun_ju","3-0","Lin_Yun_Ju",1,10,4,1384,317,13.83
"11","Lin_Yun_Ju","backhand","drive","step","continue","00:00:14:23",157000,353000,"主文",13,"112/",2024,"ITTFWorlds MT R16","Lin_Yun_ju","3-0","Mattias_Falck",1,11,5,1385,317,14.23
"12","Mattias_Falck","forehand","drive","step","continue","00:00:14:66",177000,145000,"主文",13,"112/",2024,"ITTFWorlds MT R16","Lin_Yun_ju","3-0","Lin_Yun_Ju",1,12,6,1386,317,14.66
"13","Lin_Yun_Ju","forehand","drive","step","won","00:00:15:03",220000,312000,"主文",13,"112/",2024,"ITTFWorlds MT R16","Lin_Yun_ju","3-0","Mattias_Falck",1,13,7,1387,317,15.03
"14","Lin_Yun_Ju","forehand","serve","no move","continue","00:00:19:86",165000,317000,"主文",13,"112/",2024,"ITTFWorlds MT R16","Lin_Yun_ju","3-0","Mattias_Falck",1,14,1,1388,318,19.86
"15","Mattias_Falck","forehand","push","step","continue","00:00:20:53",114000,169000,"主文",13,"112/",2024,"ITTFWorlds MT R16","Lin_Yun_ju","3-0","Lin_Yun_Ju",1,15,2,1389,318,20.53
"16","Lin_Yun_Ju","forehand","drive","step","continue","00:00:21:46",231000,359000,"主文",13,"112/",2024,"ITTFWorlds MT R16","Lin_Yun_ju","3-0","Mattias_Falck",1,16,3,1390,318,21.46
"17","Mattias_Falck","forehand","drive","step","continue","00:00:22:16",126000,118000,"主文",13,"112/",2024,"ITTFWorlds MT R16","Lin_Yun_ju","3-0","Lin_Yun_Ju",1,17,4,1391,318,22.16
"18","Lin_Yun_Ju","forehand","drive","step","won","00:00:22:73",218000,335000,"主文",13,"112/",2024,"ITTFWorlds MT R16","Lin_Yun_ju","3-0","Mattias_Falck",1,18,5,1392,318,22.73
"19","Mattias_Falck","forehand","serve","no move","continue","00:00:28:09",156000,186000,"主文",13,"112/",2024,"ITTFWorlds MT R16","Lin_Yun_ju","3-0","Lin_Yun_Ju",1,19,1,1393,319,28.09
"20","Lin_Yun_Ju","backhand","side-spin drive","step","won","00:00:28:53",214000,347000,"主文",13,"112/",2024,"ITTFWorlds MT R16","Lin_Yun_ju","3-0","Mattias_Falck",1,20,2,1394,319,28.53
"21","Mattias_Falck","forehand","serve","no move","continue","00:00:33:29",141000,189000,"主文",13,"112/",2024,"ITTFWorlds MT R16","Lin_Yun_ju","3-0","Lin_Yun_Ju",1,21,1,1395,320,33.29
"22","Lin_Yun_Ju","forehand","push","step","continue","00:00:33:83",217000,344000,"主文",13,"112/",2024,"ITTFWorlds MT R16","Lin_Yun_ju","3-0","Mattias_Falck",1,22,2,1396,320,33.83
"23","Mattias_Falck","forehand","drive","step","continue","00:00:34:53",239000,137000,"主文",13,"112/",2024,"ITTFWorlds MT R16","Lin_Yun_ju","3-0","Lin_Yun_Ju",1,23,3,1397,320,34.53
"24","Lin_Yun_Ju","backhand","block","step","won","00:00:34:93",138000,321000,"主文",13,"112/",2024,"ITTFWorlds MT R16","Lin_Yun_ju","3-0","Mattias_Falck",1,24,4,1398,320,34.93
"25","Lin_Yun_Ju","forehand","serve","no move","continue","00:00:39:43",219000,349000,"主文",13,"112/",2024,"ITTFWorlds MT R16","Lin_Yun_ju","3-0","Mattias_Falck",1,25,1,1399,321,39.43
"26","Mattias_Falck","backhand","drive","step","won","00:00:39:83",170000,149000,"主文",13,"112/",2024,"ITTFWorlds MT R16","Lin_Yun_ju","3-0","Lin_Yun_Ju",1,26,2,1400,321,39.83
"27","Lin_Yun_Ju","forehand","serve","no move","continue","00:00:44:89",188000,312000,"主文",13,"112/",2024,"ITTFWorlds MT R16","Lin_Yun_ju","3-0","Mattias_Falck",1,27,1,1401,322,44.89
